CAMPUSID,CAMPUSNAME,PROVIDERID,ProviderName,ADDRESSSTREET,ADDRESSSTATE,StateId,ADDRESSCITY,CityId,ADDRESSPOSTCODE,CAMPUSNEARESTCITY,CountryCode,ADDRESSCOUNTRYCODE,ONCAMPUSACCOMMODATION,URLCAMPUSINFO,CAMPUSNOTE,ADDRESSGEOCODE,PROVIDERCRICOSCODE
SN_L_0141,Brisbane,SN_P_0004,Federation University,"Level 5-7, 333 Ann Street",Queensland,,Brisbane,,,,,Australia,,,,,00103D
SN_L_0142,Ballarat - Mt Helen,SN_P_0004,Federation University,University Drive,Victoria,,Mount Helen,,,,,Australia,,,,,00103D
SN_L_0143,Berwick,SN_P_0004,Federation University,100 Clyde Road,Victoria,,Berwick,,,,,Australia,,,,,00103D
SN_L_0144,On-line Learning,SN_P_0004,Federation University,University Drive,Victoria,,Mount Helen,,,,,Australia,,,,,00103D
SN_L_0145,Gippsland - Churchill,SN_P_0004,Federation University,Northways Road,Victoria,,Churchill,,,,,Australia,,,,,00103D
SN_L_0146,Distance,SN_P_0001,Macquarie University,,,,,,,,,Australia,,,,,00002J
SN_L_0147,Online (Domestic Only),SN_P_0001,Macquarie University,Online,,,,,,,,Australia,,,,,00002J
SN_L_0148,Melbourne Campus (Domestic Only),SN_P_0001,Macquarie University,,,,,,,,,Australia,,,,,00002J
SN_L_0149,"City Campus (123 Pitt Street, Angel Place, Sydney)",SN_P_0001,Macquarie University,"Level 24, 123 Pitt Street (Angel Place)",,,,,,,,Australia,,,,,00002J
SN_L_0150,North Ryde,SN_P_0001,Macquarie University, Balaclava Rd,,,,,,,,Australia,,,,,00002J
SN_L_0151,,0,,,,,,,,,,,,,,,
SN_L_0152,,0,,,,,,,,,,,,,,,
SN_L_0153,,0,,,,,,,,,,,,,,,
SN_L_0154,,0,,,,,,,,,,,,,,,
SN_L_0155,,0,,,,,,,,,,,,,,,
SN_L_0156,,0,,,,,,,,,,,,,,,
SN_L_0157,,0,,,,,,,,,,,,,,,
SN_L_0158,,0,,,,,,,,,,,,,,,
SN_L_0159,,0,,,,,,,,,,,,,,,
SN_L_0160,,0,,,,,,,,,,,,,,,
SN_L_0161,,0,,,,,,,,,,,,,,,
SN_L_0162,,0,,,,,,,,,,,,,,,
SN_L_0163,,0,,,,,,,,,,,,,,,
SN_L_0164,,0,,,,,,,,,,,,,,,
SN_L_0165,,0,,,,,,,,,,,,,,,
SN_L_0166,,0,,,,,,,,,,,,,,,
SN_L_0167,,0,,,,,,,,,,,,,,,
SN_L_0168,,0,,,,,,,,,,,,,,,
SN_L_0169,,0,,,,,,,,,,,,,,,
SN_L_0170,,0,,,,,,,,,,,,,,,
SN_L_0171,,0,,,,,,,,,,,,,,,
SN_L_0172,,0,,,,,,,,,,,,,,,
SN_L_0173,,0,,,,,,,,,,,,,,,
SN_L_0174,,0,,,,,,,,,,,,,,,
SN_L_0175,,0,,,,,,,,,,,,,,,
SN_L_0176,,0,,,,,,,,,,,,,,,
SN_L_0177,,0,,,,,,,,,,,,,,,
SN_L_0178,,0,,,,,,,,,,,,,,,
SN_L_0179,,0,,,,,,,,,,,,,,,
SN_L_0180,,0,,,,,,,,,,,,,,,
SN_L_0181,,0,,,,,,,,,,,,,,,
SN_L_0182,,0,,,,,,,,,,,,,,,
SN_L_0183,,0,,,,,,,,,,,,,,,
SN_L_0184,,0,,,,,,,,,,,,,,,
SN_L_0185,,0,,,,,,,,,,,,,,,
SN_L_0186,,0,,,,,,,,,,,,,,,
SN_L_0187,,0,,,,,,,,,,,,,,,
SN_L_0188,,0,,,,,,,,,,,,,,,
SN_L_0189,,0,,,,,,,,,,,,,,,
SN_L_0190,,0,,,,,,,,,,,,,,,
SN_L_0191,,0,,,,,,,,,,,,,,,
SN_L_0192,,0,,,,,,,,,,,,,,,
SN_L_0193,,0,,,,,,,,,,,,,,,
SN_L_0194,,0,,,,,,,,,,,,,,,
SN_L_0195,,0,,,,,,,,,,,,,,,
SN_L_0196,,0,,,,,,,,,,,,,,,
SN_L_0197,,0,,,,,,,,,,,,,,,
SN_L_0198,,0,,,,,,,,,,,,,,,
SN_L_0199,,0,,,,,,,,,,,,,,,
SN_L_0200,,0,,,,,,,,,,,,,,,
SN_L_0201,,0,,,,,,,,,,,,,,,
SN_L_0202,,0,,,,,,,,,,,,,,,
SN_L_0203,,0,,,,,,,,,,,,,,,
SN_L_0204,,0,,,,,,,,,,,,,,,
SN_L_0205,,0,,,,,,,,,,,,,,,
SN_L_0206,,0,,,,,,,,,,,,,,,
SN_L_0207,,0,,,,,,,,,,,,,,,
SN_L_0208,,0,,,,,,,,,,,,,,,
SN_L_0209,,0,,,,,,,,,,,,,,,
